cube_cell_id,schema_version,batch_id,analytical_category_code,analytical_category,evidence_family_code,evidence_family,task_depth,task_depth_definition,cell_viability,candidate_generation_target,final_selection_target_v0,archetype_title,bounded_objective,example_agent_inputs_json,example_structured_output_json,likely_grader_types_json,primary_failure_modes_json,acquisition_method_tags_json,experiment_type_tags_json,scientific_context_tags_json,source_basis,source_urls_json,quantity_rationale,notes,review_status,primary_operation_v2,secondary_operations_v2_json,evidence_regime_v2,acquisition_strategy_tags_v2_json,quantification_strategy_tags_v2_json,molecular_scope_tags_v2_json,sampling_resolution_tags_v2_json,method_freedom_v2,decision_analysis_scope_v2,legacy_cube_cell_id
C02-E03-D,0.2,B02,C02,Identification and protein inference,E03,TMT / isobaric-label MS,Decision,Synthesis of provided evidence into a predefined scientific or operational action.,natural,1,0,Decide whether TMT evidence supports a protein-level detection claim,"Decide whether a target can be reported as present across the plex using identification confidence, uniqueness, and channel support.","[{""role"": ""protein groups"", ""format"": ""to_be_determined""}, {""role"": ""channel-level evidence"", ""format"": ""to_be_determined""}, {""role"": ""reporting criteria"", ""format"": ""to_be_determined""}]","{""target"": ""protein_id"", ""detection_status"": ""detected|ambiguous|not_detected""}","[""multiple_choice""]","[""reporter signal without valid identification"", ""shared-peptide overclaim""]","[""TMT"", ""isobaric labeling"", ""DDA-MS2"", ""SPS-MS3""]","[""multiplexed quantitative proteomics"", ""CPTAC-style proteomics""]","[""research"", ""translational"", ""clinical research""]","HUPO-PSI identification and sequence-representation standards, official public proteomics repositories, official platform documentation, or primary field protocols supporting this task shape.","[""https://github.com/HUPO-PSI/mzIdentML"", ""https://github.com/HUPO-PSI/mzTab"", ""https://proteomic.datacommons.cancer.gov/"", ""https://www.proteomexchange.org/""]",Candidate target reflects the number of distinct sourced task candidates to seek for this cube cell. Final target is a provisional slot count within the 14-evaluation Identification and protein inference margin. Weak-overlap cells remain in the full cube with zero or low targets rather than being silently removed.,Valid but likely redundant with DDA/DIA detection-claim cells.,draft_inventory,identification_and_molecular_inference,"[""study_design_and_sample_structure""]",global_bottom_up_discovery_ms,"[""DDA""]","[""isobaric_labeling""]","[""protein_or_protein_group"", ""global_proteome""]","[""bulk_sample""]",scientific,Composite,C02-E03-D
C02-E04-A,0.2,B02,C02,Identification and protein inference,E04,Targeted MS: PRM / SRM,Atomic,One local analytical judgment with a bounded empirical endpoint.,strong,2,0,Confirm a targeted peptide peak identity,"Determine whether an endogenous peak corresponds to the targeted peptide using retention time, qualifier transitions, ion ratios, and heavy-reference evidence.","[{""role"": ""chromatograms"", ""format"": ""to_be_determined""}, {""role"": ""transition table"", ""format"": ""to_be_determined""}, {""role"": ""heavy-reference trace"", ""format"": ""to_be_determined""}, {""role"": ""retention-time window"", ""format"": ""to_be_determined""}]","{""target_peptide"": ""sequence"", ""peak_identity"": ""confirmed|ambiguous|absent""}","[""multiple_choice"", ""exact_match""]","[""wrong peak selection"", ""ion-ratio mismatch"", ""retention-time mismatch"", ""interference""]","[""PRM"", ""SRM"", ""MRM"", ""targeted LC-MS/MS""]","[""targeted proteomics"", ""assay verification"", ""clinical biomarker assay""]","[""translational"", ""clinical research"", ""core facility""]","HUPO-PSI identification and sequence-representation standards, official public proteomics repositories, official platform documentation, or primary field protocols supporting this task shape.","[""https://www.proteomexchange.org/"", ""https://proteomics.cancer.gov/data-portal"", ""https://proteomic.datacommons.cancer.gov/"", ""https://github.com/HUPO-PSI/mzIdentML""]",Candidate target reflects the number of distinct sourced task candidates to seek for this cube cell. Final target is a provisional slot count within the 14-evaluation Identification and protein inference margin. Weak-overlap cells remain in the full cube with zero or low targets rather than being silently removed.,"A targeted-MS analogue of peptide identification, with strong assay-specific evidence.",draft_inventory,identification_and_molecular_inference,"[""analytical_validation_and_fit_for_purpose_assessment""]",targeted_quantitative_ms,"[""PRM"", ""SRM_MRM""]","[""targeted_peak_area""]","[""peptide_precursor"", ""targeted_analyte_panel""]","[""bulk_sample"", ""cohort""]",observational,,C02-E04-A
C02-E04-C,0.2,B02,C02,Identification and protein inference,E04,Targeted MS: PRM / SRM,Composite,Several connected operations ending in one empirical result.,strong,2,0,Establish target identity across a PRM/SRM assay,"Review transitions, heavy standards, retention times, interferences, and replicate evidence to determine which analytes are confidently detected.","[{""role"": ""transition chromatograms"", ""format"": ""to_be_determined""}, {""role"": ""heavy-standard results"", ""format"": ""to_be_determined""}, {""role"": ""replicate table"", ""format"": ""to_be_determined""}, {""role"": ""assay criteria"", ""format"": ""to_be_determined""}]","{""confirmed_analytes"": [""analyte_id""], ""ambiguous_analytes"": [""analyte_id""]}","[""label_set"", ""dictionary_comparison""]","[""accepting one transition alone"", ""misaligned heavy/light peaks"", ""qualifier-ratio failure""]","[""PRM"", ""SRM"", ""MRM"", ""targeted LC-MS/MS""]","[""targeted proteomics"", ""assay verification"", ""clinical biomarker assay""]","[""translational"", ""clinical research"", ""core facility""]","HUPO-PSI identification and sequence-representation standards, official public proteomics repositories, official platform documentation, or primary field protocols supporting this task shape.","[""https://www.proteomexchange.org/"", ""https://proteomics.cancer.gov/data-portal"", ""https://proteomic.datacommons.cancer.gov/"", ""https://github.com/HUPO-PSI/mzIdentML""]",Candidate target reflects the number of distinct sourced task candidates to seek for this cube cell. Final target is a provisional slot count within the 14-evaluation Identification and protein inference margin. Weak-overlap cells remain in the full cube with zero or low targets rather than being silently removed.,"Natural, but final representation is reserved for a decision-level targeted-MS identity task.",draft_inventory,identification_and_molecular_inference,"[""study_design_and_sample_structure"", ""analytical_validation_and_fit_for_purpose_assessment""]",targeted_quantitative_ms,"[""PRM"", ""SRM_MRM""]","[""targeted_peak_area""]","[""targeted_analyte_panel""]","[""bulk_sample"", ""cohort""]",scientific,,C02-E04-C
C02-E04-D,0.2,B02,C02,Identification and protein inference,E04,Targeted MS: PRM / SRM,Decision,Synthesis of provided evidence into a predefined scientific or operational action.,strong,2,1,Decide whether a targeted analyte is truly detected,"Apply predefined identity criteria to decide whether the assay supports confirmed detection, ambiguous detection, or non-detection of the analyte.","[{""role"": ""peak-review package"", ""format"": ""to_be_determined""}, {""role"": ""identity criteria"", ""format"": ""to_be_determined""}, {""role"": ""replicate results"", ""format"": ""to_be_determined""}]","{""analyte"": ""analyte_id"", ""detection_status"": ""confirmed|ambiguous|not_detected""}","[""multiple_choice"", ""exact_match""]","[""quantifying an incorrect peak"", ""ignoring failed qualifier transitions""]","[""PRM"", ""SRM"", ""MRM"", ""targeted LC-MS/MS""]","[""targeted proteomics"", ""assay verification"", ""clinical biomarker assay""]","[""translational"", ""clinical research"", ""core facility""]","HUPO-PSI identification and sequence-representation standards, official public proteomics repositories, official platform documentation, or primary field protocols supporting this task shape.","[""https://www.proteomexchange.org/"", ""https://proteomics.cancer.gov/data-portal"", ""https://proteomic.datacommons.cancer.gov/"", ""https://github.com/HUPO-PSI/mzIdentML""]",Candidate target reflects the number of distinct sourced task candidates to seek for this cube cell. Final target is a provisional slot count within the 14-evaluation Identification and protein inference margin. Weak-overlap cells remain in the full cube with zero or low targets rather than being silently removed.,A decision-level identity claim is central to targeted assay interpretation.,draft_inventory,identification_and_molecular_inference,"[""quantification_and_harmonization""]",targeted_quantitative_ms,"[""PRM"", ""SRM_MRM""]","[""targeted_peak_area""]","[""targeted_analyte_panel""]","[""bulk_sample"", ""cohort""]",scientific,Composite,C02-E04-D
C02-E05-A,0.2,B02,C02,Identification and protein inference,E05,PTM enrichment / top-down / proteoform evidence,Atomic,One local analytical judgment with a bounded empirical endpoint.,strong,3,1,Localize a modification or assign a proteoform,"Determine the supported modification site, peptidoform, glycoform, or intact proteoform from fragmentation and mass evidence.","[{""role"": ""annotated spectrum"", ""format"": ""to_be_determined""}, {""role"": ""candidate peptidoforms/proteoforms"", ""format"": ""to_be_determined""}, {""role"": ""localization scores"", ""format"": ""to_be_determined""}, {""role"": ""mass constraints"", ""format"": ""to_be_determined""}]","{""assignment"": ""ProForma_or_proteoform_string"", ""confidence"": ""localized|ambiguous|unsupported""}","[""exact_match"", ""multiple_choice""]","[""site mislocalization"", ""isobaric modification confusion"", ""intact-mass ambiguity""]","[""phosphoproteomics"", ""glycoproteomics"", ""ubiquitinomics"", ""top-down MS"", ""middle-down MS""]","[""PTM identification"", ""site localization"", ""proteoform characterization""]","[""research"", ""translational"", ""drug discovery""]","HUPO-PSI identification and sequence-representation standards, official public proteomics repositories, official platform documentation, or primary field protocols supporting this task shape.","[""https://github.com/HUPO-PSI/ProForma"", ""https://github.com/HUPO-PSI/PEFF"", ""https://github.com/HUPO-PSI/mzIdentML"", ""https://www.topdownproteomics.org/""]",Candidate target reflects the number of distinct sourced task candidates to seek for this cube cell. Final target is a provisional slot count within the 14-evaluation Identification and protein inference margin. Weak-overlap cells remain in the full cube with zero or low targets rather than being silently removed.,ProForma and PEFF make these assignments explicitly representable.,draft_inventory,identification_and_molecular_inference,"[""pattern_structure_and_relationship_inference"", ""biological_interpretation_and_evidence_integration""]",ptm_peptidoform_and_proteoform_resolved_evidence,"[""top_down_ms""]",[],"[""glycoproteome"", ""peptidoform"", ""intact_proteoform""]","[""bulk_sample""]",observational,,C02-E05-A
C02-E05-C,0.2,B02,C02,Identification and protein inference,E05,PTM enrichment / top-down / proteoform evidence,Composite,Several connected operations ending in one empirical result.,strong,4,1,Resolve PTM and proteoform identities across evidence layers,"Combine bottom-up, middle-down, intact-mass, sequence-variant, and localization evidence to return the defensible modified molecular forms.","[{""role"": ""PSM/peptidoform table"", ""format"": ""to_be_determined""}, {""role"": ""intact-mass features"", ""format"": ""to_be_determined""}, {""role"": ""sequence database"", ""format"": ""to_be_determined""}, {""role"": ""variant/PTM annotations"", ""format"": ""to_be_determined""}]","{""supported_forms"": [{""id"": ""string"", ""assignment"": ""string"", ""evidence"": [""evidence_id""]}]}","[""label_set"", ""dictionary_comparison""]","[""collapsing distinct proteoforms"", ""double-counting redundant evidence"", ""variant/PTM confusion""]","[""phosphoproteomics"", ""glycoproteomics"", ""ubiquitinomics"", ""top-down MS"", ""middle-down MS""]","[""PTM identification"", ""site localization"", ""proteoform characterization""]","[""research"", ""translational"", ""drug discovery""]","HUPO-PSI identification and sequence-representation standards, official public proteomics repositories, official platform documentation, or primary field protocols supporting this task shape.","[""https://github.com/HUPO-PSI/ProForma"", ""https://github.com/HUPO-PSI/PEFF"", ""https://github.com/HUPO-PSI/mzIdentML"", ""https://www.topdownproteomics.org/""]",Candidate target reflects the number of distinct sourced task candidates to seek for this cube cell. Final target is a provisional slot count within the 14-evaluation Identification and protein inference margin. Weak-overlap cells remain in the full cube with zero or low targets rather than being silently removed.,This cell captures an identification problem unique to protein molecular forms.,draft_inventory,identification_and_molecular_inference,"[""pattern_structure_and_relationship_inference""]",ptm_peptidoform_and_proteoform_resolved_evidence,"[""top_down_ms""]",[],"[""intact_proteoform"", ""peptidoform""]","[""bulk_sample""]",scientific,,C02-E05-C
C02-E05-D,0.2,B02,C02,Identification and protein inference,E05,PTM enrichment / top-down / proteoform evidence,Decision,Synthesis of provided evidence into a predefined scientific or operational action.,strong,2,1,Decide whether a proteoform-specific claim is supported,"Determine whether the evidence supports a specific proteoform, only the parent protein, or no confident assignment.","[{""role"": ""integrated proteoform evidence"", ""format"": ""to_be_determined""}, {""role"": ""reporting criteria"", ""format"": ""to_be_determined""}, {""role"": ""replicate support"", ""format"": ""to_be_determined""}]","{""claim_level"": ""specific_proteoform|parent_protein_only|unsupported"", ""reported_form"": ""string""}","[""multiple_choice"", ""exact_match""]","[""overclaiming proteoform specificity"", ""ignoring intact evidence"", ""collapsing variant and modification states""]","[""phosphoproteomics"", ""glycoproteomics"", ""ubiquitinomics"", ""top-down MS"", ""middle-down MS""]","[""PTM identification"", ""site localization"", ""proteoform characterization""]","[""research"", ""translational"", ""drug discovery""]","HUPO-PSI identification and sequence-representation standards, official public proteomics repositories, official platform documentation, or primary field protocols supporting this task shape.","[""https://github.com/HUPO-PSI/ProForma"", ""https://github.com/HUPO-PSI/PEFF"", ""https://github.com/HUPO-PSI/mzIdentML"", ""https://www.topdownproteomics.org/""]",Candidate target reflects the number of distinct sourced task candidates to seek for this cube cell. Final target is a provisional slot count within the 14-evaluation Identification and protein inference margin. Weak-overlap cells remain in the full cube with zero or low targets rather than being silently removed.,Decision-level proteoform evidence is included because it cannot be reduced to ordinary protein grouping.,draft_inventory,identification_and_molecular_inference,"[""biological_interpretation_and_evidence_integration""]",ptm_peptidoform_and_proteoform_resolved_evidence,"[""top_down_ms""]",[],"[""protein_or_protein_group"", ""intact_proteoform"", ""peptidoform""]","[""bulk_sample""]",scientific,Composite,C02-E05-D
C02-E06-A,0.2,B02,C02,Identification and protein inference,E06,Affinity and NGS-readout proteomics,Atomic,One local analytical judgment with a bounded empirical endpoint.,natural_but_narrow,1,0,Adjudicate nominal analyte identity in an affinity assay,"Determine whether a signal can be interpreted as the nominal protein target given assay specificity, cross-reactivity, epitope, variant, and orthogonal evidence.","[{""role"": ""assay annotation"", ""format"": ""to_be_determined""}, {""role"": ""specificity data"", ""format"": ""to_be_determined""}, {""role"": ""variant/epitope information"", ""format"": ""to_be_determined""}, {""role"": ""orthogonal measurement"", ""format"": ""to_be_determined""}]","{""assay_id"": ""string"", ""identity_status"": ""supported|ambiguous|unsupported""}","[""multiple_choice"", ""exact_match""]","[""equating assay label with molecular identity"", ""ignoring cross-reactivity"", ""epitope-altering variant""]","[""Olink PEA"", ""SomaScan"", ""multiplex immunoassay"", ""NGS readout""]","[""affinity proteomics"", ""biomarker profiling"", ""orthogonal validation""]","[""research"", ""translational"", ""clinical research""]","HUPO-PSI identification and sequence-representation standards, official public proteomics repositories, official platform documentation, or primary field protocols supporting this task shape.","[""https://olink.com/technology/what-is-pea"", ""https://info.olink.com/specificity"", ""https://olink.com/knowledge/documents"", ""https://olink.com/application/application-mass-spec""]",Candidate target reflects the number of distinct sourced task candidates to seek for this cube cell. Final target is a provisional slot count within the 14-evaluation Identification and protein inference margin. Weak-overlap cells remain in the full cube with zero or low targets rather than being silently removed.,"Unlike untargeted MS, analytes are nominally predetermined; the real identification issue is whether the measured signal truly represents that analyte.",draft_inventory,identification_and_molecular_inference,"[""biological_interpretation_and_evidence_integration""]",affinity_and_sequencing_readout_proteomics,"[""affinity_measurement"", ""ngs_readout""]","[""affinity_intensity"", ""sequencing_counts""]","[""protein_or_protein_group""]","[""bulk_sample""]",observational,,C02-E06-A
C02-E06-C,0.2,B02,C02,Identification and protein inference,E06,Affinity and NGS-readout proteomics,Composite,Several connected operations ending in one empirical result.,natural_but_narrow,2,0,Reconcile affinity-assay identity with orthogonal evidence,"Combine multiple affinity assays, genetic associations, dilution behavior, and LC-MS or immunoassay evidence to identify which nominal protein assignments are credible.","[{""role"": ""affinity-assay matrix"", ""format"": ""to_be_determined""}, {""role"": ""assay annotations"", ""format"": ""to_be_determined""}, {""role"": ""orthogonal assay table"", ""format"": ""to_be_determined""}, {""role"": ""variant or pQTL information"", ""format"": ""to_be_determined""}]","{""supported_assays"": [""assay_id""], ""ambiguous_assays"": [""assay_id""], ""likely_explanation"": ""string""}","[""label_set"", ""dictionary_comparison""]","[""binding-artifact interpretation"", ""cross-platform target mismatch"", ""variant-sensitive epitope effects""]","[""Olink PEA"", ""SomaScan"", ""multiplex immunoassay"", ""NGS readout""]","[""affinity proteomics"", ""biomarker profiling"", ""orthogonal validation""]","[""research"", ""translational"", ""clinical research""]","HUPO-PSI identification and sequence-representation standards, official public proteomics repositories, official platform documentation, or primary field protocols supporting this task shape.","[""https://olink.com/technology/what-is-pea"", ""https://info.olink.com/specificity"", ""https://olink.com/knowledge/documents"", ""https://olink.com/application/application-mass-spec""]",Candidate target reflects the number of distinct sourced task candidates to seek for this cube cell. Final target is a provisional slot count within the 14-evaluation Identification and protein inference margin. Weak-overlap cells remain in the full cube with zero or low targets rather than being silently removed.,"Potentially valuable, but overlaps assay validation and translational interpretation.",draft_inventory,identification_and_molecular_inference,"[""comparative_and_statistical_inference"", ""biological_interpretation_and_evidence_integration""]",affinity_and_sequencing_readout_proteomics,"[""affinity_measurement"", ""ngs_readout""]","[""affinity_intensity"", ""sequencing_counts""]","[""protein_or_protein_group""]","[""bulk_sample""]",scientific,,C02-E06-C
C02-E06-D,0.2,B02,C02,Identification and protein inference,E06,Affinity and NGS-readout proteomics,Decision,Synthesis of provided evidence into a predefined scientific or operational action.,natural_but_narrow,1,0,Decide whether an affinity signal can support a protein-specific claim,"Decide whether the supplied evidence supports reporting a protein-specific change, only an assay-specific signal, or no interpretable result.","[{""role"": ""affinity signal"", ""format"": ""to_be_determined""}, {""role"": ""specificity package"", ""format"": ""to_be_determined""}, {""role"": ""orthogonal data"", ""format"": ""to_be_determined""}, {""role"": ""reporting rules"", ""format"": ""to_be_determined""}]","{""claim_level"": ""protein_specific|assay_signal_only|unsupported""}","[""multiple_choice""]","[""protein-specific overclaim"", ""discarding credible orthogonal confirmation""]","[""Olink PEA"", ""SomaScan"", ""multiplex immunoassay"", ""NGS readout""]","[""affinity proteomics"", ""biomarker profiling"", ""orthogonal validation""]","[""research"", ""translational"", ""clinical research""]","HUPO-PSI identification and sequence-representation standards, official public proteomics repositories, official platform documentation, or primary field protocols supporting this task shape.","[""https://olink.com/technology/what-is-pea"", ""https://info.olink.com/specificity"", ""https://olink.com/knowledge/documents"", ""https://olink.com/application/application-mass-spec""]",Candidate target reflects the number of distinct sourced task candidates to seek for this cube cell. Final target is a provisional slot count within the 14-evaluation Identification and protein inference margin. Weak-overlap cells remain in the full cube with zero or low targets rather than being silently removed.,"Kept in the cube, but no provisional final slot until candidate data quality is demonstrated.",draft_inventory,identification_and_molecular_inference,"[""biological_interpretation_and_evidence_integration""]",affinity_and_sequencing_readout_proteomics,"[""affinity_measurement"", ""ngs_readout""]","[""affinity_intensity"", ""sequencing_counts""]","[""protein_or_protein_group""]","[""bulk_sample""]",scientific,Atomic,C02-E06-D
C02-E07-A,0.2,B02,C02,Identification and protein inference,E07,Interaction and structural proteomics,Atomic,One local analytical judgment with a bounded empirical endpoint.,strong,2,0,Adjudicate an interactor or cross-link identification,"Determine whether a candidate interactor peptide, cross-linked peptide pair, or complex subunit assignment is supported by the supplied spectra and confidence evidence.","[{""role"": ""candidate identification table"", ""format"": ""to_be_determined""}, {""role"": ""annotated spectra"", ""format"": ""to_be_determined""}, {""role"": ""search scores"", ""format"": ""to_be_determined""}, {""role"": ""decoy/FDR metadata"", ""format"": ""to_be_determined""}]","{""candidate_id"": ""string"", ""accepted"": true, ""assignment"": ""string""}","[""multiple_choice"", ""exact_match""]","[""cross-link false positive"", ""contaminant assignment"", ""poor fragment support""]","[""AP-MS"", ""proximity labeling"", ""XL-MS"", ""HDX-MS"", ""native MS""]","[""interaction proteomics"", ""cross-link identification"", ""complex characterization""]","[""research"", ""drug discovery"", ""structural biology""]","HUPO-PSI identification and sequence-representation standards, official public proteomics repositories, official platform documentation, or primary field protocols supporting this task shape.","[""https://www.psidev.info/groups"", ""https://www.proteomexchange.org/"", ""https://github.com/HUPO-PSI/mzIdentML"", ""https://github.com/HUPO-PSI/ProForma""]",Candidate target reflects the number of distinct sourced task candidates to seek for this cube cell. Final target is a provisional slot count within the 14-evaluation Identification and protein inference margin. Weak-overlap cells remain in the full cube with zero or low targets rather than being silently removed.,Identification is distinct from later interaction scoring.,draft_inventory,identification_and_molecular_inference,"[""study_design_and_sample_structure"", ""pattern_structure_and_relationship_inference"", ""biological_interpretation_and_evidence_integration""]",interaction_and_structural_proteomics,"[""cross_linking_ms"", ""ap_ms"", ""proximity_labeling"", ""DDA""]",[],"[""peptide_precursor"", ""protein_interaction"", ""cross_link""]","[""bulk_sample""]",observational,,C02-E07-A
C02-E07-C,0.2,B02,C02,Identification and protein inference,E07,Interaction and structural proteomics,Composite,Several connected operations ending in one empirical result.,strong,3,1,Identify supported interaction-proteomics entities,"Filter peptide and cross-link identifications, map them to proteins or complexes, and return supported interactors, cross-links, or subunits.","[{""role"": ""identification results"", ""format"": ""to_be_determined""}, {""role"": ""protein database"", ""format"": ""to_be_determined""}, {""role"": ""control annotations"", ""format"": ""to_be_determined""}, {""role"": ""structural constraints"", ""format"": ""to_be_determined""}]","{""supported_entities"": [{""id"": ""string"", ""type"": ""interactor|crosslink|subunit"", ""support"": [""evidence_id""]}]}","[""label_set"", ""dictionary_comparison""]","[""background proteins as interactors"", ""cross-link mapping error"", ""complex-member ambiguity""]","[""AP-MS"", ""proximity labeling"", ""XL-MS"", ""HDX-MS"", ""native MS""]","[""interaction proteomics"", ""cross-link identification"", ""complex characterization""]","[""research"", ""drug discovery"", ""structural biology""]","HUPO-PSI identification and sequence-representation standards, official public proteomics repositories, official platform documentation, or primary field protocols supporting this task shape.","[""https://www.psidev.info/groups"", ""https://www.proteomexchange.org/"", ""https://github.com/HUPO-PSI/mzIdentML"", ""https://github.com/HUPO-PSI/ProForma""]",Candidate target reflects the number of distinct sourced task candidates to seek for this cube cell. Final target is a provisional slot count within the 14-evaluation Identification and protein inference margin. Weak-overlap cells remain in the full cube with zero or low targets rather than being silently removed.,One final slot tests identity construction before interaction significance scoring.,draft_inventory,identification_and_molecular_inference,"[""study_design_and_sample_structure"", ""pattern_structure_and_relationship_inference"", ""biological_interpretation_and_evidence_integration""]",interaction_and_structural_proteomics,"[""ap_ms"", ""proximity_labeling"", ""DDA""]",[],"[""peptide_precursor"", ""protein_or_protein_group"", ""protein_interaction"", ""cross_link""]","[""bulk_sample""]",scientific,,C02-E07-C
C02-E07-D,0.2,B02,C02,Identification and protein inference,E07,Interaction and structural proteomics,Decision,Synthesis of provided evidence into a predefined scientific or operational action.,natural,1,0,Decide whether a molecular interaction entity is identified,"Decide whether the evidence supports a specific cross-link, complex subunit, or bait-associated protein identity.","[{""role"": ""filtered identifications"", ""format"": ""to_be_determined""}, {""role"": ""controls"", ""format"": ""to_be_determined""}, {""role"": ""reporting criteria"", ""format"": ""to_be_determined""}]","{""entity"": ""string"", ""identity_status"": ""supported|ambiguous|unsupported""}","[""multiple_choice"", ""exact_match""]","[""confusing identification with interaction significance"", ""specific-subunit overclaim""]","[""AP-MS"", ""proximity labeling"", ""XL-MS"", ""HDX-MS"", ""native MS""]","[""interaction proteomics"", ""cross-link identification"", ""complex characterization""]","[""research"", ""drug discovery"", ""structural biology""]","HUPO-PSI identification and sequence-representation standards, official public proteomics repositories, official platform documentation, or primary field protocols supporting this task shape.","[""https://www.psidev.info/groups"", ""https://www.proteomexchange.org/"", ""https://github.com/HUPO-PSI/mzIdentML"", ""https://github.com/HUPO-PSI/ProForma""]",Candidate target reflects the number of distinct sourced task candidates to seek for this cube cell. Final target is a provisional slot count within the 14-evaluation Identification and protein inference margin. Weak-overlap cells remain in the full cube with zero or low targets rather than being silently removed.,"Valid, but decision capacity is represented more strongly in the interactions category.",draft_inventory,identification_and_molecular_inference,"[""study_design_and_sample_structure"", ""pattern_structure_and_relationship_inference""]",interaction_and_structural_proteomics,"[""ap_ms"", ""proximity_labeling"", ""DDA""]",[],"[""protein_or_protein_group"", ""protein_interaction"", ""cross_link""]","[""bulk_sample""]",scientific,Atomic,C02-E07-D
C02-E08-A,0.2,B02,C02,Identification and protein inference,E08,Spatial proteomics,Atomic,One local analytical judgment with a bounded empirical endpoint.,weak_overlap,0,0,Assign a nominal protein or phenotype from a spatial panel,Assign a protein-marker or cell-phenotype label from a bounded spatial protein panel and supplied marker definitions.,"[{""role"": ""spatial protein matrix"", ""format"": ""to_be_determined""}, {""role"": ""marker panel annotation"", ""format"": ""to_be_determined""}, {""role"": ""cell/ROI metadata"", ""format"": ""to_be_determined""}]","{""entity_id"": ""string"", ""assigned_label"": ""string""}","[""exact_match"", ""multiple_choice""]","[""single-marker overassignment"", ""panel-target confusion"", ""spatial-context neglect""]","[""GeoMx DSP protein"", ""imaging mass cytometry"", ""multiplex immunofluorescence""]","[""spatial proteomics"", ""tissue imaging"", ""spatial phenotyping""]","[""research"", ""translational pathology"", ""clinical research""]","HUPO-PSI identification and sequence-representation standards, official public proteomics repositories, official platform documentation, or primary field protocols supporting this task shape.","[""https://brukerspatialbiology.com/products/geomx-digital-spatial-profiler/geomx-protein-assays/"", ""https://brukerspatialbiology.com/support/knowledgebase/geomx-assays-applications/"", ""https://brukerspatialbiology.com/support/knowledgebase/geomx-data-analysis/""]",Candidate target reflects the number of distinct sourced task candidates to seek for this cube cell. Final target is a provisional slot count within the 14-evaluation Identification and protein inference margin. Weak-overlap cells remain in the full cube with zero or low targets rather than being silently removed.,This overlaps the Spatial and single-cell analysis category; no candidates should be sourced unless a clearly molecular-identification task appears.,draft_inventory,identification_and_molecular_inference,[],spatial_proteomics,"[""imaging_ms""]",[],"[""protein_or_protein_group""]","[""spatial_region""]",observational,,C02-E08-A
C02-E08-C,0.2,B02,C02,Identification and protein inference,E08,Spatial proteomics,Composite,Several connected operations ending in one empirical result.,weak_overlap,1,0,Resolve ambiguous spatial protein identities,"Use multiple markers, controls, and spatial context to determine which nominal protein or phenotype assignments are supported.","[{""role"": ""spatial protein matrix"", ""format"": ""to_be_determined""}, {""role"": ""marker definitions"", ""format"": ""to_be_determined""}, {""role"": ""control channels"", ""format"": ""to_be_determined""}, {""role"": ""tissue context"", ""format"": ""to_be_determined""}]","{""supported_assignments"": [{""entity_id"": ""string"", ""label"": ""string""}]}","[""dictionary_comparison"", ""label_set""]","[""phenotype assignment from one marker"", ""antibody-specific artifact"", ""compartment confusion""]","[""GeoMx DSP protein"", ""imaging mass cytometry"", ""multiplex immunofluorescence""]","[""spatial proteomics"", ""tissue imaging"", ""spatial phenotyping""]","[""research"", ""translational pathology"", ""clinical research""]","HUPO-PSI identification and sequence-representation standards, official public proteomics repositories, official platform documentation, or primary field protocols supporting this task shape.","[""https://brukerspatialbiology.com/products/geomx-digital-spatial-profiler/geomx-protein-assays/"", ""https://brukerspatialbiology.com/support/knowledgebase/geomx-assays-applications/"", ""https://brukerspatialbiology.com/support/knowledgebase/geomx-data-analysis/""]",Candidate target reflects the number of distinct sourced task candidates to seek for this cube cell. Final target is a provisional slot count within the 14-evaluation Identification and protein inference margin. Weak-overlap cells remain in the full cube with zero or low targets rather than being silently removed.,"Retained in the full cube, but likely better classified under spatial analysis or assay validation.",draft_inventory,identification_and_molecular_inference,"[""biological_interpretation_and_evidence_integration""]",spatial_proteomics,"[""imaging_ms""]",[],"[""protein_or_protein_group""]","[""spatial_region""]",scientific,,C02-E08-C
